Original;Frag;classe;local;Sub;Placa;X;Y;PAP;HPAP;H;IC;CE;F1;F2;GD;F5;familia;spp;quantity
sdm01_02Parquef15;LC9b;LC;Borda;1;G2400;0,5;2,2;79,3;;13;5;9;am;1;;1;Solanaceae;Solanum rufescens;1
sdm01_02Parquef15;LC9b;LC;Borda;1;G2401;0,2;0,8;42,5;;14;5;9;am;1;;1;Euphorbiaceae;Alchornea glandulosa;1
sdm01_02Parquef15;LC9b;LC;Borda;1;G2402;3,4;0,6;42,5;;14;4;5;am;1;;1;Solanaceae;Solanum rufescens;1
sdm01_02Parquef15;LC9b;LC;Borda;1;G2403;8,8;3,1;56,9;;14;5;15;cm;1;;1;Primulaceae;Myrsine umbellata;1
sdm01_02Parquef15;LC9b;LC;Borda;1;G2404;9,5;3,1;57;;15;5;1;am;1;;1;Sapindaceae;Cupania tenuivalvis;1
sdm01_02Parquef15;LC9b;LC;Borda;1;G2405;7,2;4,2;52,3;;13;4;5;am;1;;1;Lauraceae  ;Nectandra puberula;1
sdm01_02Parquef15;LC9b;LC;Borda;1;G2406;6,2;5,8;55,5;;14;5;15;a ;1;;1;Solanaceae;Solanum rufescens;1
sdm01_02Parquef15;LC9b;LC;Borda;1;G2407;3,2;7;49,2;;12;5;5;ch;1;;1;Nyctaginaceae;Guapira opposita;1
sdm01_02Parquef15;LC9b;LC;Borda;1;G2407;3,2;7;46,1;;6;3;5;c;1;;1;Nyctaginaceae;Guapira opposita;1
sdm01_02Parquef15;LC9b;LC;Borda;1;G2408;9,8;8,5;85,6;;1,7;5;15;am;1;;1;Solanaceae;Solanum rufescens;1
sdm01_02Parquef15;LC9b;LC;Borda;1;G2409;5,8;2,8;32;;12;4;1;a;1;;1;Euphorbiaceae;Alchornea glandulosa;1
sdm01_02Parquef15;LC9b;LC;Borda;1;G2410;4;3,2;32,4;;12;5;1;am;1;;1;Nyctaginaceae;Guapira opposita;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2411;1;1,3;35;;13;3;2;a;1;;1;Annonaceae;Annona sylvatica;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2412;2,4;1,1;57;;14;4;1;ahm;1;;1;Sapindaceae;Cupania tenuivalvis;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2412;2,4;1,1;57,2;;14;5;2;am;1;;1;Sapindaceae;Cupania tenuivalvis;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2413;2,1;5,7;47,3;;14;4;5;a;1;;1;Euphorbiaceae;Alchornea glandulosa;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2414;0,2;3,7;47,4;;14;5;1;a;1;;1;Lauraceae  ;Nectandra puberula;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2415;2,4;5,7;32;;12;4;5;a;1;;1;Solanaceae;Solanum rufescens;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2416;4,3;6,8;33,4;;10;4;1;a;1;;1;Lauraceae  ;Aniba firmula;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2417;4,3;5,9;36,9;;10;3;1;c;1;;1;Sapindaceae;Cupania tenuivalvis;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2418;4,3;7,7;46,2;;10;3;5;c;1;;1;Solanaceae;Solanum rufescens;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2419;5,4;9,4;58,7;;16;5;1;am;1;;1;Sapindaceae;Cupania oblongifolia;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2420;8,3;4;61,6;;16;5;2;cm;1;;1;Sapindaceae;Cupania vernalis;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2421;1,7;2,4;78,7;;16;5;15;am;1;;1;Solanaceae;Solanum rufescens;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2422;9,4;1,8;62,7;;1,7;5;15;am;1;;1;Solanaceae;Solanum rufescens;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2423;5,4;2,6;39,2;;10;4;5;c;1;;1;Euphorbiaceae;Alchornea glandulosa;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2424;6,7;2,8;34,5;;12;3;1;c;1;;1;Urticaceae;Coussapoa microcarpa;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2425;7,4;3,5;37,1;;8;3;5;ch;1;;1;Solanaceae;Solanum rufescens;1
sdm01_02Parquef15;LC9b;LC;Borda;2;G2425;7,4;3,5;32,6;;5;3;15;c;1;;1;Solanaceae;Solanum rufescens;1
sdm01_02Parquef15;LC9b;LC;Borda;3;G2426;4;3,1;81,1;;10;4;15;bh;1;;1;Melastomataceae;Pleroma raddianum;1
sdm01_02Parquef15;LC9b;LC;Borda;3;G2426;4;3,1;55,4;;5;;15;0;aps;3;1;Morta;morta;1
sdm01_02Parquef15;LC9b;LC;Borda;3;G2427;5,1;7,9;32,3;;8;3;1;a;1;;1;Rubiaceae;Palicourea sessilis;1
sdm01_02Parquef15;LC9b;LC;Borda;3;G2428;5,8;9,2;34,3;;12;4;0;a;1;;1;Sapindaceae;Cupania oblongifolia;1
sdm01_02Parquef15;LC9b;LC;Borda;3;G2429;7;5,7;48,6;;12;4;9;a;1;;1;Nyctaginaceae;Guapira opposita;1
sdm01_02Parquef15;LC9b;LC;Borda;3;G2430;9,2;7,2;81,3;;20;5;5;ah ;1;;1;Fabaceae;Pseudopiptadenia leptostachya;1
sdm01_02Parquef15;LC9b;LC;Borda;3;G2430;9,2;7,2;36,5;;10;4;9;a;1;;1;Fabaceae;Pseudopiptadenia leptostachya;1
sdm01_02Parquef15;LC9b;LC;Borda;3;G2431;9,3;4,1;58,4;;20;5;5;am;1;;1;Sapindaceae;Cupania vernalis;1
sdm01_02Parquef15;LC9b;LC;Borda;3;G2432;8,2;4,1;54,1;;17;5;41;a;1;;1;Sapindaceae;Cupania tenuivalvis;1
sdm01_02Parquef15;LC9b;LC;Borda;3;G2433;5,4;3;37,2;;7;3;1;a;1;;1;Rubiaceae;Palicourea sessilis;1
sdm01_02Parquef15;LC9b;LC;Borda;3;G2434;5,3;0,8;41,3;;7;4;5;a;1;;1;Lauraceae  ;Ocotea puberula;1
sdm01_02Parquef15;LC9b;LC;Borda;3;G2435;5,8;4;46,1;;15;4;1;a;1;;1;Primulaceae;Myrsine umbellata;1
sdm01_02Parquef15;LC9b;LC;Borda;4;G2436;3,7;0,1;75;;7;3;5;bchz;1;;1;Indeterminada;Indeterminada sem coleta;1
sdm01_02Parquef15;LC9b;LC;Borda;4;G2436;3,7;0,1;75;;10;3;5;bcz;1;;1;Indeterminada;Indeterminada sem coleta;1
sdm01_02Parquef15;LC9b;LC;Borda;4;G2437;3,7;2,6;35,9;;10;4;9;a;1;;1;Rubiaceae;Palicourea sessilis;1
sdm01_02Parquef15;LC9b;LC;Borda;4;G2438;0,3;7,2;52,7;;20;5;1;a;1;;1;Lauraceae  ;Nectandra puberula;1
sdm01_02Parquef15;LC9b;LC;Borda;4;G2439;2;7,8;57,8;;16;4;2;a;1;;1;Solanaceae;Solanum rufescens;1
sdm01_02Parquef15;LC9b;LC;Borda;4;G2440;6,2;6,1;40,8;;7;3;2;a;1;;1;Nyctaginaceae;Guapira opposita;1
sdm01_02Parquef15;LC9b;LC;Borda;4;G2441;7,9;7,1;98,1;;24;5;9;ahm;1;;1;Lauraceae  ;Ocotea koscinskii;1
sdm01_02Parquef15;LC9b;LC;Borda;4;G2441;7,9;7,1;105,9;;24;5;9;am;1;;1;Lauraceae  ;Ocotea koscinskii;1
sdm01_02Parquef15;LC9b;LC;Borda;4;G2441;7,9;7,1;33;;12;3;0;a;1;;1;Lauraceae  ;Ocotea koscinskii;1
sdm01_02Parquef15;LC9b;LC;Borda;4;G2442;7,9;7,9;36,3;;14;3;2;a;1;;1;Myrtaceae;Eugenia disperma;1
sdm01_02Parquef15;LC9b;LC;Borda;4;G2443;9,9;9,3;54;;8;4;9;c;1;;1;Lauraceae  ;Nectandra puberula;1
sdm01_02Parquef15;LC9b;LC;Borda;4;G2444;7,3;4,6;46,1;;12;4;1;a;1;;1;Euphorbiaceae;Alchornea glandulosa;1
sdm01_02Parquef15;LC9b;LC;Borda;4;G2445;8,8;1,8;34,7;;12;3;0;a;1;;1;Melastomataceae;Mouriri chamissoana;1
sdm01_02Parquef15;LC9b;LC;Borda;4;G2446;8,8;0,7;52,3;;12;4;1;ah;1;;1;Malpighiaceae;Rubiaceae sp. 1 Parque;1
sdm01_02Parquef15;LC9b;LC;Borda;4;G2446;8,8;0,7;34,2;;7;3;1;a;1;;1;Malpighiaceae;Rubiaceae sp. 1 Parque;1
sdm01_02Parquef15;LC9b;LC;Borda;4;G2447;9,9;0,7;115,3;;25;5;9;a;1;;1;Melastomataceae;Miconia cinnamomifolia;1
sdm01_02Parquef15;LC9b;LC;Borda;5;G2448;3;0,5;46,8;;15;5;1;a;1;;1;Sapindaceae;Cupania tenuivalvis;1
sdm01_02Parquef15;LC9b;LC;Borda;5;G2449;2;4,3;75,7;;20;5;5;a;1;;1;Malpighiaceae;Rubiaceae sp. 1 Parque;1
sdm01_02Parquef15;LC9b;LC;Borda;5;G2450;9;5,8;41,4;;6;3;9;a;1;;1;Nyctaginaceae;Guapira opposita;1
sdm01_02Parquef15;LC9b;LC;Borda;5;G2451;7,5;5,3;64,3;;12;4;9;ah;1;;1;Nyctaginaceae;Guapira opposita;1
sdm01_02Parquef15;LC9b;LC;Borda;5;G2451;7,5;5,3;50,9;;10;3;9;a;1;;1;Nyctaginaceae;Guapira opposita;1
sdm01_02Parquef15;LC9b;LC;Borda;5;H2978;1,9;4,3;43,5;;15;3;9;a;1;;1;Solanaceae;Solanum granulosoleprosum;1
sdm01_02Parquef15;LC9b;LC;Borda;6;G2452;1;1;47;;15;5;5;ah;1;;1;Lauraceae  ;Ocotea silvestris;1
sdm01_02Parquef15;LC9b;LC;Borda;6;G2452;1;1;44,8;;15;5;9;a;1;;1;Lauraceae  ;Ocotea silvestris;1
sdm01_02Parquef15;LC9b;LC;Borda;6;G2453;2,3;0,1;79,8;;20;5;2;am;1;;1;Melastomataceae;Miconia cinnamomifolia;1
sdm01_02Parquef15;LC9b;LC;Borda;6;G2454;0,1;3;54,9;;15;5;1;am;1;;1;Lauraceae  ;Nectandra puberula;1
sdm01_02Parquef15;LC9b;LC;Borda;6;G2455;4,1;4,5;49,1;;12;4;9;am;1;;1;Rosaceae;Prunus myrtifolia;1
sdm01_02Parquef15;LC9b;LC;Borda;6;G2456;2,6;8,2;32,5;;10;3;1;a;1;;1;Boraginaceae;Cordia sellowiana;1
sdm01_02Parquef15;LC9b;LC;Borda;6;G2457;6,2;6;46,3;;15;5;0;am;1;;1;Sapindaceae;Cupania vernalis;1
sdm01_02Parquef15;LC9b;LC;Borda;6;G2458;9;6;101,4;;20;5;1;cm;1;;1;Melastomataceae;Pleroma raddianum;1
sdm01_02Parquef15;LC9b;LC;Borda;6;G2459;9;2,7;55,6;;18;5;1;am;1;;1;Aquifoliaceae;Ilex paraguariensis;1
sdm01_02Parquef15;LC9b;LC;Borda;7;G2460;4;2;36,1;;10;3;1;am;1;;1;Lauraceae  ;Nectandra puberula;1
sdm01_02Parquef15;LC9b;LC;Borda;7;G2461;4,5;1;60,9;;14;4;15;am;1;;1;Lauraceae  ;Nectandra puberula;1
sdm01_02Parquef15;LC9b;LC;Borda;7;G2462;5;3,6;73;;20;5;2;am;1;;1;Melastomataceae;Miconia cinnamomifolia;1
sdm01_02Parquef15;LC9b;LC;Borda;7;G2463;1,7;4,3;47,5;;16;3;1;am;1;;1;Apocynaceae;Aspidosperma olivaceum;1
sdm01_02Parquef15;LC9b;LC;Borda;7;G2464;1;5,4;31,6;;13;3;1;am;1;;1;Lauraceae  ;Aniba firmula;1
sdm01_02Parquef15;LC9b;LC;Borda;8;G2465;1,4;1,8;76;;18;5;2;a;1;;1;Melastomataceae;Miconia formosa;1
sdm01_02Parquef15;LC9b;LC;Borda;8;G2466;2;7,5;40,9;;4;;9;0;aps;3;1;Morta;morta;1
sdm01_02Parquef15;LC9b;LC;Borda;8;G2467;4,2;6,6;39,5;;12;5;0;a;1;;1;Arecaceae;Euterpe edulis;1
sdm01_02Parquef15;LC9b;LC;Borda;8;G2468;4,6;7,5;35,2;;2,5;;5;0;aps;4;1;Morta;morta;1
sdm01_02Parquef15;LC9b;LC;Borda;8;G2469;5,4;6,3;109,2;;16;5;5;am;1;;1;Melastomataceae;Pleroma raddianum;1
sdm01_02Parquef15;LC9b;LC;Borda;8;G2470;4,4;3,1;66,4;;15;4;5;ah;1;;1;Chrysobalanaceae;Hirtella hebeclada;1
sdm01_02Parquef15;LC9b;LC;Borda;8;G2470;4,4;3,1;38,2;;10;3;5;a;1;;1;Chrysobalanaceae;Hirtella hebeclada;1
sdm01_02Parquef15;LC9b;LC;Borda;8;G2470;4,4;3,1;33,5;;10;3;5;a;1;;1;Chrysobalanaceae;Hirtella hebeclada;1
sdm01_02Parquef15;LC9b;LC;Borda;8;G2470;4,4;3,1;40,6;;10;3;5;a;1;;1;Chrysobalanaceae;Hirtella hebeclada;1
sdm01_02Parquef15;LC9b;LC;Borda;8;G2471;4,4;2,1;44,7;;12;4;1;a;1;;1;Melastomataceae;Miconia formosa;1
sdm01_02Parquef15;LC9b;LC;Borda;9;G2472;3,9;3,7;57,7;;14;4;9;am;1;;1;Lauraceae  ;Nectandra leucantha;1
sdm01_02Parquef15;LC9b;LC;Borda;9;G2473;3;4,7;54,9;;15;4;1;a;1;;1;Melastomataceae;Miconia formosa;1
sdm01_02Parquef15;LC9b;LC;Borda;9;G2474;4;4,7;44,1;;15;4;1;am;1;;1;Lauraceae  ;Endlicheria paniculata;1
sdm01_02Parquef15;LC9b;LC;Borda;9;G2475;2,6;6;43,8;;15;5;0;a;1;;1;Arecaceae;Euterpe edulis;1
sdm01_02Parquef15;LC9b;LC;Borda;9;G2476;1,6;8,6;72;;16;5;0;a;1;;1;Clethraceae;Clethra scabra;1
sdm01_02Parquef15;LC9b;LC;Borda;9;G2477;5,3;5;65,1;;18;5;1;a;1;;1;Lauraceae  ;Nectandra membranacea;1
sdm01_02Parquef15;LC9b;LC;Borda;9;G2478;5,3;4;65,4;;16;4;9;a;1;;1;Melastomataceae;Miconia formosa;1
sdm01_02Parquef15;LC9b;LC;Borda;9;G2479;9,1;5;47,4;;11;5;9;a;1;;1;Euphorbiaceae;Alchornea sidifolia;1
sdm01_02Parquef15;LC9b;LC;Borda;9;G2480;9,9;7,1;31,6;;7;3;1;a;1;;1;Euphorbiaceae;Alchornea sidifolia;1
sdm01_02Parquef15;LC9b;LC;Borda;10;G2481;0,5;1;58,2;;20;5;1;am;1;;1;Lauraceae  ;Nectandra membranacea;1
sdm01_02Parquef15;LC9b;LC;Borda;10;G2482;2,6;9,8;39;;7;3;9;ah;1;;1;Nyctaginaceae;Guapira opposita;1
sdm01_02Parquef15;LC9b;LC;Borda;10;G2482;2,6;9,8;32,3;;5;3;1;a;1;;1;Nyctaginaceae;Guapira opposita;1
sdm01_02Parquef15;LC9b;LC;Borda;10;G2483;4,4;8,7;65,7;;20;5;1;a;1;;1;Melastomataceae;Miconia formosa;1
sdm01_02Parquef15;LC9b;LC;Borda;10;G2484;6,6;9;96,7;;12;3;1;b;1;;1;Lauraceae  ;Nectandra membranacea;1
sdm01_02Parquef15;LC9b;LC;Borda;10;G2485;6,2;4,8;104,1;;15;5;1;am;1;;1;Melastomataceae;Pleroma raddianum;1
sdm01_02Parquef15;LC9b;LC;Borda;10;G2486;9,9;2,8;40;;4;;2;0;aps;4;1;Morta;morta;1
sdm01_02Parquef15;LC9b;LC;Borda;11;G2487;0,8;3,8;49,4;;13;5;9;a;1;;1;Euphorbiaceae;Alchornea glandulosa;1
sdm01_02Parquef15;LC9b;LC;Borda;11;G2488;4,5;1;44;;12;4;9;a;1;;1;Euphorbiaceae;Alchornea glandulosa;1
sdm01_02Parquef15;LC9b;LC;Borda;11;G2489;1;4,4;37;;6;3;1;a;1;;1;Rubiaceae;Palicourea sessilis;1
sdm01_02Parquef15;LC9b;LC;Borda;11;G2490;4,5;2,9;31,7;;11;3;2;a;1;;1;Myrtaceae;Myrcia loranthifolia;1
sdm01_02Parquef15;LC9b;LC;Borda;11;G2491;4,7;5,9;104;;25;5;1;a;1;;1;Lauraceae  ;Nectandra membranacea;1
sdm01_02Parquef15;LC9b;LC;Borda;11;G2492;3;9;88,8;;15;4;9;a;1;;1;Melastomataceae;Pleroma raddianum;1
sdm01_02Parquef15;LC9b;LC;Borda;11;G2493;0,6;9,4;39,6;;10;3;1;a;1;;1;Lauraceae  ;Nectandra membranacea;1
sdm01_02Parquef15;LC9b;LC;Borda;11;G2494;4,8;5,9;59,8;;16;4;1;a;1;;1;Lauraceae  ;Aiouea montana;1
sdm01_02Parquef15;LC9b;LC;Borda;11;G2495;7,4;7,7;67,9;;15;4;2;a;1;;1;Melastomataceae;Pleroma raddianum;1
sdm01_02Parquef15;LC9b;LC;Borda;11;G2496;8,5;9,8;42,3;;12;3;0;a;1;;1;Sapindaceae;Cupania vernalis;1
sdm01_02Parquef15;LC9b;LC;Borda;11;G2497;8,6;6,2;52,8;;4,5;;0;0;aps;4;1;Morta;morta;1
sdm01_02Parquef15;LC9b;LC;Borda;11;G2498;8,9;3,6;35;;15;4;1;a;1;;1;Solanaceae;Cestrum axillare;1
sdm01_02Parquef15;LC9b;LC;Borda;11;G2499;9,8;0,2;44,4;;18;5;9;a;1;;1;Boraginaceae;Cordia sellowiana;1
sdm01_02Parquef15;LC9b;LC;Borda;12;H2900;1,1;1,6;88;;20;5;9;ah;1;;1;Euphorbiaceae;Alchornea glandulosa;1
sdm01_02Parquef15;LC9b;LC;Borda;12;H2900;1,1;1,6;80,5;;15;4;9;a;1;;1;Euphorbiaceae;Alchornea glandulosa;1
sdm01_02Parquef15;LC9b;LC;Borda;12;H2901;3,8;1,3;54;;4;3;5;as;1;;1;Euphorbiaceae;Alchornea glandulosa;1
sdm01_02Parquef15;LC9b;LC;Borda;12;H2902;3,8;1,4;35;;20;5;1;a;1;;1;Urticaceae;Coussapoa microcarpa;1
sdm01_02Parquef15;LC9b;LC;Borda;12;H2903;1;4,6;43,7;;12;3;2;a;1;;1;Nyctaginaceae;Guapira opposita;1
sdm01_02Parquef15;LC9b;LC;Borda;12;H2904;2,6;6;32,5;;5;3;1;a;1;;1;Rubiaceae;Rustia formosa;1
sdm01_02Parquef15;LC9b;LC;Borda;12;H2905;5;4;95;;15;4;1;a;1;;1;Malvaceae;Pseudobombax grandiflorum;1
sdm01_02Parquef15;LC9b;LC;Borda;12;H2906;3;9;35,5;;5;3;1;a;1;;1;Nyctaginaceae;Guapira opposita;1
sdm01_02Parquef15;LC9b;LC;Borda;12;H2907;4,8;8,9;32;;12;3;2;a;1;;1;Euphorbiaceae;Alchornea sidifolia;1
sdm01_02Parquef15;LC9b;LC;Borda;12;H2908;5,9;9;31,5;;6;3;1;a;1;;1;Rubiaceae;Palicourea sessilis;1
sdm01_02Parquef15;LC9b;LC;Borda;13;H2909;2;5;61,7;;15;4;9;am;1;;1;Lauraceae  ;Nectandra membranacea;1
sdm01_02Parquef15;LC9b;LC;Borda;13;H2910;2;6;39,5;;7;3;0;a;1;;1;Rubiaceae;Palicourea sessilis;1
sdm01_02Parquef15;LC9b;LC;Borda;13;H2911;4,5;2,8;98,5;;18;5;9;am;1;;1;Lauraceae  ;Nectandra membranacea;1
sdm01_02Parquef15;LC9b;LC;Borda;13;H2912;5;7;113,5;;10;;0;0;aps;3;1;Morta;morta;1
sdm01_02Parquef15;LC9b;LC;Borda;13;H2913;7,7;5,3;38,4;;7;3;1;c;1;;1;Meliaceae;Cabralea canjerana;1
sdm01_02Parquef15;LC9b;LC;Borda;13;H2914;8,6;2,6;53,2;;6;3;5;am;1;;1;Nyctaginaceae;Guapira opposita;1
sdm01_02Parquef15;LC9b;LC;Borda;13;H2915;8,9;2,3;62,5;;16;4;5;ah;1;;1;Lauraceae  ;Nectandra membranacea;1
sdm01_02Parquef15;LC9b;LC;Borda;13;H2915;8,9;2,3;43,5;;4;;0;0;aps;3;1;Morta;morta;1
sdm01_02Parquef15;LC9b;LC;Borda;13;H2916;6;2,8;38,5;;1,7;4;0;a;1;;1;Sapindaceae;Cupania tenuivalvis;1
sdm01_02Parquef15;LC9b;LC;Borda;13;H2917;6,4;0,7;50,5;;15;3;0;a;1;;1;Lauraceae  ;Nectandra leucantha;1
sdm01_02Parquef15;LC9b;LC;Borda;14;H2918;1,2;1;46,5;;5;;0;0;aps;3;1;Morta;morta;1
sdm01_02Parquef15;LC9b;LC;Borda;14;H2919;3,2;1,6;45,3;;15;5;1;a;1;;1;Lauraceae  ;Nectandra puberula;1
sdm01_02Parquef15;LC9b;LC;Borda;14;H2920;4,9;1;85,9;;15;5;1;a;1;;1;Melastomataceae;Miconia formosa;1
sdm01_02Parquef15;LC9b;LC;Borda;14;H2921;1,4;2,8;58,1;;20;5;5;a;1;;1;Lauraceae  ;Nectandra membranacea;1
sdm01_02Parquef15;LC9b;LC;Borda;14;H2922;3;4;101,6;;20;5;5;am;1;;1;Fabaceae;Inga sessilis;1
sdm01_02Parquef15;LC9b;LC;Borda;14;H2923;7;6;80,5;;22;5;5;a;1;;1;Lauraceae  ;Nectandra membranacea;1
sdm01_02Parquef15;LC9b;LC;Borda;14;H2924;5;6,4;36,4;;4;;0;0;aps;3;1;Morta;morta;1
sdm01_02Parquef15;LC9b;LC;Borda;15;H2925;0,1;0,6;36,5;;10;3;0;a;1;;1;Cyatheaceae;Cyathea phalerata;1
sdm01_02Parquef15;LC9b;LC;Borda;15;H2926;3,6;0,8;53,9;;12;4;9;a;1;;1;Rutaceae;Zanthoxylum rhoifolium;1
sdm01_02Parquef15;LC9b;LC;Borda;15;H2927;3;4,1;63;;15;4;5;b;1;;1;Primulaceae;Myrsine umbellata;1
sdm01_02Parquef15;LC9b;LC;Borda;15;H2928;7;1,5;33;;3;;0;0;aps;3;1;Morta;morta;1
sdm01_02Parquef15;LC9b;LC;Borda;15;H2929;9,8;6;123,1;;25;5;9;a;1;;1;Lauraceae  ;Nectandra membranacea;1
sdm01_02Parquef15;LC9b;LC;Borda;15;H2930;8,6;3,3;79,5;;20;;1;0;aps;1;1;Morta;morta;1
sdm01_02Parquef15;LC9b;LC;Borda;15;H2931;9,5;2,7;65,6;;18;5;2;a;1;;1;Melastomataceae;Miconia formosa;1
sdm01_02Parquef15;LC9b;LC;Borda;15;H2934;9,6;2,2;88;;18;5;2;a;1;;1;Lauraceae  ;Ocotea koscinskii;1
sdm01_02Parquef15;LC9b;LC;Borda;16;H2932;2,4;7;80,3;;15;4;9;a;1;;1;Melastomataceae;Pleroma raddianum;1
sdm01_02Parquef15;LC9b;LC;Borda;16;H2933;4,6;7,6;35,4;;5;3;0;a;1;;1;Meliaceae;Guarea macrophylla subsp. tuberculata;1
sdm01_02Parquef15;LC9b;LC;Borda;16;H2935;9,5;3,9;55,7;;18;5;0;a;1;;1;Sapindaceae;Cupania tenuivalvis;1
sdm01_02Parquef15;LC9b;LC;Borda;16;H2936;9,9;1,5;39,9;;9;3;5;ah;1;;1;Rubiaceae;Rustia formosa;1
sdm01_02Parquef15;LC9b;LC;Borda;16;H2936;9,9;1,5;34,5;;7;3;5;a;1;;1;Rubiaceae;Rustia formosa;1
sdm01_02Parquef15;LC9b;LC;Borda;16;H2936;9,9;1,5;40;;7;3;5;a;1;;1;Rubiaceae;Rustia formosa;1
sdm01_02Parquef15;LC9b;LC;Borda;16;H2977;6;1,1;43;;8;3;5;a;1;;1;Euphorbiaceae;Alchornea sidifolia;1
sdm01_02Parquef15;LC9b;LC;Borda;17;H2937;3,3;1,9;42,7;;10;4;9;a;1;;1;Meliaceae;Guarea macrophylla subsp. tuberculata;1
sdm01_02Parquef15;LC9b;LC;Borda;17;H2938;1,4;4,9;34,6;;6;3;0;a;1;;1;Meliaceae;Guarea macrophylla subsp. tuberculata;1
sdm01_02Parquef15;LC9b;LC;Borda;17;H2939;3,8;2,5;119,1;;25;5;9;ah;1;;1;Melastomataceae;Pleroma raddianum;1
sdm01_02Parquef15;LC9b;LC;Borda;17;H2939;3,8;2,5;111,5;;25;5;9;a;1;;1;Melastomataceae;Pleroma raddianum;1
sdm01_02Parquef15;LC9b;LC;Borda;17;H2940;0,7;0,3;43,5;;14;3;0;a;1;;1;Peraceae;Pera glabrata;1
sdm01_02Parquef15;LC9b;LC;Borda;17;H2941;2;8,4;71,4;;18;5;9;a;1;;1;Euphorbiaceae;Alchornea sidifolia;1
sdm01_02Parquef15;LC9b;LC;Borda;17;H2942;3,4;9,9;31,5;;6;3;0;a;1;;1;Annonaceae;Guatteria australis;1
sdm01_02Parquef15;LC9b;LC;Borda;17;H2943;5;8;83,6;;20;5;9;a;1;;1;Lauraceae  ;Cryptocarya mandioccana;1
sdm01_02Parquef15;LC9b;LC;Borda;17;H2944;8;8,5;46,1;;10;3;1;ah;1;;1;Rubiaceae;Rustia formosa;1
sdm01_02Parquef15;LC9b;LC;Borda;17;H2944;8;8,5;42;;10;3;1;a;1;;1;Rubiaceae;Rustia formosa;1
sdm01_02Parquef15;LC9b;LC;Borda;17;H2944;8;8,5;34,1;;5;3;1;a;1;;1;Rubiaceae;Rustia formosa;1
sdm01_02Parquef15;LC9b;LC;Borda;17;H2945;7,8;6,6;102,5;;20;5;2;c;1;;1;Lauraceae  ;Nectandra membranacea;1
sdm01_02Parquef15;LC9b;LC;Borda;17;H2946;7,8;3;108,5;;18;5;2;a;1;;1;Melastomataceae;Pleroma raddianum;1
sdm01_02Parquef15;LC9b;LC;Borda;17;H2947;8,8;1,1;76,5;;15;4;5;a;1;;1;Nyctaginaceae;Guapira opposita;1
sdm01_02Parquef15;LC9b;LC;Borda;17;H2948;1;6;51,5;;18;5;9;a;1;;1;Euphorbiaceae;Alchornea sidifolia;1
sdm01_02Parquef15;LC9b;LC;Borda;18;H2949;4,1;2,4;48,6;;8;3;2;ah;1;;1;Meliaceae;Guarea macrophylla subsp. tuberculata;1
sdm01_02Parquef15;LC9b;LC;Borda;18;H2949;4,1;2,4;41,5;;8;3;1;c;1;;1;Meliaceae;Guarea macrophylla subsp. tuberculata;1
sdm01_02Parquef15;LC9b;LC;Borda;18;H2949;4,1;2,4;37,9;;6;3;1;c;1;;1;Meliaceae;Guarea macrophylla subsp. tuberculata;1
sdm01_02Parquef15;LC9b;LC;Borda;18;H2950;3;1,1;77,1;;20;5;2;ah;1;;1;Lauraceae  ;Nectandra oppositifolia;1
sdm01_02Parquef15;LC9b;LC;Borda;18;H2950;3;1,1;82,5;;6;;0;0;aps;3;1;Morta;morta;1
sdm01_02Parquef15;LC9b;LC;Borda;18;H2951;0,1;3;59,8;;6;4;9;ah;1;;1;Meliaceae;Guarea macrophylla subsp. tuberculata;1
sdm01_02Parquef15;LC9b;LC;Borda;18;H2951;0,1;3;31,4;;5;3;2;c;1;;1;Meliaceae;Guarea macrophylla subsp. tuberculata;1
sdm01_02Parquef15;LC9b;LC;Borda;18;H2952;3,3;3,7;127,2;;10;;2;0;aps;3;1;Morta;morta;1
sdm01_02Parquef15;LC9b;LC;Borda;18;H2953;4,9;8;70,9;;18;4;2;a;1;;1;Melastomataceae;Miconia formosa;1
sdm01_02Parquef15;LC9b;LC;Borda;18;H2954;7;7,8;37,6;;10;3;9;a;1;;1;Euphorbiaceae;Sapium glandulosum;1
sdm01_02Parquef15;LC9b;LC;Borda;18;H2955;8,8;8,6;59,7;;16;;1;0;aps;1;1;Morta;morta;1
sdm01_02Parquef15;LC9b;LC;Borda;18;H2956;7,8;6,7;91;;20;4;2;a;1;;1;Euphorbiaceae;Alchornea glandulosa;1
